"Part";"Value";"Device";"Package";"Description";"PROD_ID";"VALUE";
"C1";"0.1uF";"CAP0805";"0805";"Capacitor";"";"";
"C2";"1 nF";"CAP0805";"0805";"Capacitor";"";"";
"C3";"10 nF";"CAP0805";"0805";"Capacitor";"";"";
"C4";"0.1 uF";"CAP0805";"0805";"Capacitor";"";"";
"C5";"0.1 uF";"CAP0805";"0805";"Capacitor";"";"";
"C6";"0.1uF";"CAP0805";"0805";"Capacitor";"";"";
"C7";"0.1uF";"CAP0805";"0805";"Capacitor";"";"";
"C8";"0.1 uF";"CAP0805";"0805";"Capacitor";"";"";
"C9";"0.1 uF";"CAP0805";"0805";"Capacitor";"";"";
"C10";"1uF";"CAP0805";"0805";"Capacitor";"";"";
"C11";"100pF";"CAP0805";"0805";"Capacitor";"";"";
"C12";"0.1 uF";"CAP0805";"0805";"Capacitor";"";"";
"C13";"0.1 uF";"CAP0805";"0805";"Capacitor";"";"";
"C14";"0.1 uF";"CAP0805";"0805";"Capacitor";"";"";
"C15";"0.1 uF";"CAP0805";"0805";"Capacitor";"";"";
"C16";"0.1 uF";"CAP0805";"0805";"Capacitor";"";"";
"R1";"63.3k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R2";"3.76k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R3";"100k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R4";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R5";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R6";"100k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R7";"5k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R8";"1k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R9";"1M";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R10";"330";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R11";"330";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R12";"330";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R13";"330";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R14";"330";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R15";"330";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R16";"100k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R17";"100k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R18";"100k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R19";"100k";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R26";"0";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"R27";"0";"RESISTOR0805-RES";"0805";"Resistor";"";"";
"RADIO";"SJ-43514-SMT";"SJ-43514-SMT";"35MM_SMD_4WIRE";"";"";"";
"U$1";"MCP6L92";"MCP6L92";"MSOP8";"MCP6L91T-E/MS";"";"";
"U$2";"SG-210STF";"SG-210STF";"SG-210STF";"";"";"";
"U$3";"INMP621";"INMP621";"CUSTOM_MIC";"";"";"";
"U$4";"MCP6L92";"MCP6L92";"MSOP8";"MCP6L91T-E/MS";"";"";
"U1";"+12v";"V_REG_78XX7812";"TO-252";"Voltage Regulator";"VREG-12370";"+12v";
"U2";"MAX5486";"MAX5486";"TSSOP24";"Maxim's MAX3387E 3V, ±15kV ESD-Protected, AutoShutdown Plus RS-232 Transceiver for PDAs and Cell Phones";"";"";
"VD2";"40V AF DIODE";"DIODE-SCHOTTKY-SOD123";"SOD123";"SCHOTTKY DIODE";"";"";
